id,name,totalCred,Sun Jul 31 2022,Sun Jul 24 2022,Sun Jul 17 2022,Sun Jul 10 2022,Sun Jul 03 2022,Sun Jun 26 2022,Sun Jun 19 2022,Sun Jun 12 2022,Sun Jun 05 2022,Sun May 29 2022,Sun May 22 2022,Sun May 15 2022,Sun May 08 2022,Sun May 01 2022,Sun Apr 24 2022,Sun Apr 17 2022,Sun Apr 10 2022,Sun Apr 03 2022,Sun Mar 27 2022,Sun Mar 20 2022,Sun Mar 13 2022,Sun Mar 06 2022,Sun Feb 27 2022,Sun Feb 20 2022,Sun Feb 13 2022,Sun Feb 06 2022,Sun Jan 30 2022,Sun Jan 23 2022,Sun Jan 16 2022,Sun Jan 09 2022,Sun Jan 02 2022,Sun Dec 26 2021,Sun Dec 19 2021,Sun Dec 12 2021,Sun Dec 05 2021,Sun Nov 28 2021,Sun Nov 21 2021,Sun Nov 14 2021,Sun Nov 07 2021,Sun Oct 31 2021,Sun Oct 24 2021,Sun Oct 17 2021,Sun Oct 10 2021,Sun Oct 03 2021,Sun Sep 26 2021,Sun Sep 19 2021,Sun Sep 12 2021,Sun Sep 05 2021,Sun Aug 29 2021,Sun Aug 22 2021,Sun Aug 15 2021,Sun Aug 08 2021,Sun Aug 01 2021,Sun Jul 25 2021,Sun Jul 18 2021,Sun Jul 11 2021,Sun Jul 04 2021,Sun Jun 27 2021,Sun Jun 20 2021,Sun Jun 13 2021,Sun Jun 06 2021,Sun May 30 2021,Sun May 23 2021,Sun May 16 2021,Sun May 09 2021,Sun May 02 2021,Sun Apr 25 2021,Sun Apr 18 2021,Sun Apr 11 2021,Sun Apr 04 2021,Sun Mar 28 2021,Sun Mar 21 2021,Sun Mar 14 2021,Sun Mar 07 2021,Sun Feb 28 2021,Sun Feb 21 2021,Sun Feb 14 2021,Sun Feb 07 2021,Sun Jan 31 2021,Sun Jan 24 2021,Sun Jan 17 2021,Sun Jan 10 2021,Sun Jan 03 2021,Sun Dec 27 2020,Sun Dec 20 2020,Sun Dec 13 2020,Sun Dec 06 2020,Sun Nov 29 2020,Sun Nov 22 2020,Sun Nov 15 2020,Sun Nov 08 2020,Sun Nov 01 2020,Sun Oct 25 2020,Sun Oct 18 2020,Sun Oct 11 2020,Sun Oct 04 2020,Sun Sep 27 2020,Sun Sep 20 2020,Sun Sep 13 2020,Sun Sep 06 2020,Sun Aug 30 2020,Sun Aug 23 2020,Sun Aug 16 2020,Sun Aug 09 2020,Sun Aug 02 2020,Sun Jul 26 2020,Sun Jul 19 2020,Sun Jul 12 2020,Sun Jul 05 2020,Sun Jun 28 2020,Sun Jun 21 2020,Sun Jun 14 2020,Sun Jun 07 2020,Sun May 31 2020,Sun May 24 2020,Sun May 17 2020,Sun May 10 2020,Sun May 03 2020,Sun Apr 26 2020,Sun Apr 19 2020,Sun Apr 12 2020,Sun Apr 05 2020,Sun Mar 29 2020,Sun Mar 22 2020
SKwe7tLJqd1Q5idLJackbQ,kristofer,2577.6136863499737,5.6943,51.2487,21.1183,7.3088,5.5466,48.1573,88.2408,59.5672,60.7061,49.3581,35.7854,48.0617,63.5026,64.2888,100.9758,33.4985,93.6934,93.5022,47.9966,81.1966,73.8445,49.6225,81.7584,76.3173,36.9119,50.2011,48.7296,51.6709,106.8448,120.9038,115.1353,70.7433,52.3444,24.6894,35.1143,30.4763,40.9038,23.3901,7.3168,17.6092,63.6095,32.7333,25.8554,49.6497,23.7421,14.9589,3.4203,5.0246,2.9215,1.4429,0.382,2.3767,0.6027,0.078,0.1774,1.6963,16.786,2.5645,0.7206,2.0025,3.4977,0.4178,0.6802,0.6418,5.7382,1.32,7.4618,10.5414,8.34,17.2155,16.2576,68.8983,10.6827,1.0792,0.109,0.011,0.0011,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET0yY6EZd8gYCWBNobntGw,Griff,1575.1973111376087,0.0695,0.6258,0.7874,0.0812,0.0243,0.1618,1.5938,0.9946,0.4688,3.6934,0.7802,1.1981,0.3117,1.9187,0.6018,4.0993,1.0246,6.1467,7.5722,3.5292,5.8759,4.852,7.2062,0.8842,1.6355,8.6451,39.9589,10.6753,6.5255,5.4009,4.957,1.7471,0.6619,4.8721,16.2533,18.0565,18.6333,20.0576,36.1656,32.7619,36.6764,27.7257,25.5252,36.3135,13.3813,7.3937,17.4622,20.9118,21.4274,15.6654,9.5645,4.6376,10.5708,14.9341,3.8303,6.9807,18.894,10.6571,10.2591,12.2091,14.8802,7.4195,14.3722,18.8397,62.8492,67.0017,48.2479,40.3849,32.0961,36.3112,57.5621,14.9521,12.4427,13.2603,29.2592,21.627,45.7829,17.465,12.7696,7.74,22.3272,10.1408,38.9724,14.6728,22.9074,23.4418,37.2499,43.5742,12.0732,41.1108,36.2493,65.966,16.4563,6.3932,0.6458,0.0652,0.0066,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0096,0.095,0.94,0.095,0.0096,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RprQksdQTwJi71xNWAt2Wg,MattyG,1525.7315344313497,0.001,0.0093,0.0924,0.9146,9.0536,89.6218,94.4728,76.1933,60.71,27.8542,106.184,81.5264,106.6549,118.0611,129.4579,79.0894,69.482,82.7792,97.3561,61.6132,60.2836,63.1351,71.4079,32.2742,6.7453,0.6814,0.0688,0.007,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOpBtopaQXL8lQeTmted3A,Tamara,1496.975096382827,0.0757,0.6814,3.4391,0.3951,0.5115,4.7204,11.4406,1.5805,4.3648,4.5761,9.7108,6.8588,17.8629,6.1441,9.8936,4.2265,12.5418,3.8761,14.0449,5.2205,17.1251,11.3917,15.4393,1.8262,2.8229,11.2112,44.9842,13.1159,15.1176,14.2268,7.143,3.2574,6.2206,15.6297,20.3856,8.9907,30.1713,27.0239,21.7523,13.0208,25.8606,13.705,38.3797,18.4263,28.0053,13.8966,31.2572,14.2925,21.5273,6.933,18.4812,3.218,0.501,1.7925,1.1574,9.7813,27.4484,26.8263,26.0746,10.2503,30.2837,9.8819,19.8966,19.8095,39.5742,21.1958,24.0269,28.7074,43.9796,12.4974,41.5365,16.5766,31.7374,15.1409,38.8907,21.415,26.8796,11.0367,28.4869,24.1935,15.8118,23.8634,69.3484,14.3824,10.0892,25.7536,27.1892,4.9483,10.8772,23.8,3.8915,0.3931,0.0397,0.004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ESoqJnD8rY0dKKnQ8frtw,SourceCred,949.7619997348876,0.2054,1.8483,5.0832,4.271,3.9146,4.291,10.7879,14.5875,10.8309,12.4687,9.4174,11.5705,10.2479,14.0013,12.9239,15.6191,9.8033,13.3972,13.3156,12.2507,10.7578,12.9408,9.1651,12.1873,8.8607,7.5444,7.8169,10.098,8.6657,10.7368,10.5937,10.0859,6.0271,7.5735,12.7507,13.0258,9.6573,9.9507,9.0976,13.9937,14.7902,18.5849,17.4275,20.5835,18.9131,14.9838,8.9622,12.0936,12.0551,11.2247,12.2832,7.1687,6.9511,7.7625,4.9848,2.919,10.0102,12.6614,10.6306,12.4752,9.6905,9.0572,5.2504,9.1844,8.9439,15.2323,16.5628,15.2554,15.6387,12.864,14.9766,18.2347,11.9795,9.8818,10.7825,16.082,11.8861,11.0014,7.0333,9.898,6.9828,6.9595,7.632,10.1686,4.9615,6.235,9.3472,9.0455,7.3784,4.3872,6.6511,0.6719,0.0679,0.0069,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XCvAJKrkF9714dUKaUZExg,liviade,850.9834423139116,0.6154,0.2153,1.5373,2.3669,0.8874,2.6559,7.345,0.7966,0.6206,5.409,3.6839,0.4681,0.9968,5.2125,12.0222,12.8124,4.6624,4.2856,21.0732,6.0718,17.7977,3.092,7.5919,0.8233,0.6414,5.591,5.4585,4.5817,5.2697,2.8974,14.1559,2.8921,14.7648,7.8886,11.8371,18.6326,8.0302,7.3346,9.3757,9.2037,20.9291,13.6193,17.774,7.8643,6.2888,5.6706,9.2301,15.8171,9.1692,16.4946,13.8475,2.2894,9.0468,0.9994,0.947,8.4706,7.8175,15.2239,24.9947,11.2143,18.1814,2.7937,3.9567,3.4939,4.5913,15.3869,12.6486,16.4012,14.0578,4.5426,17.6913,20.2839,9.3871,6.6608,20.9434,4.961,10.523,4.4499,14.7539,4.6537,4.7492,5.8632,9.4672,3.4842,18.1587,25.1767,11.7791,9.8926,5.2092,19.5003,31.5196,14.2103,3.1742,8.2083,0.8292,0.0838,0.0085,0.0009,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakw7z8Zrf2vnbpz1FPfrg,divine-comedian,806.7826021101713,0.3382,3.0441,5.2651,4.8461,1.2025,7.1789,25.7584,7.5283,5.4646,11.6149,23.0127,10.4133,19.9427,5.3292,4.4739,3.2088,5.3307,5.4547,6.3456,6.42,17.1237,8.0573,6.9103,19.19,15.5385,5.0115,5.7468,3.8209,3.3877,5.6083,1.2859,1.5427,2.7474,8.1433,5.461,8.0386,8.683,3.8416,7.6186,8.3764,17.3214,33.0777,21.9929,22.4757,23.5329,8.612,7.2785,25.9966,4.9799,12.0903,2.1028,8.9379,2.4941,0.5569,3.0748,30.1916,15.2697,2.5489,3.2849,1.7013,3.4568,1.6739,5.9072,11.7359,8.7801,8.2405,18.6895,18.5553,10.4637,18.1699,55.8449,9.4363,10.4383,29.8589,34.1693,3.7709,0.3809,0.0385,0.0039,0.0004,0.0,0.0,0.0001,0.0011,0.0112,0.1105,1.0943,0.1105,0.0112,0.0011,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sajBddm8qlGdY7Qt8GQmbQ,marthendalnunes,787.1880366458104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0014,0.0135,0.1339,1.3252,0.1424,0.0993,0.8507,8.4076,13.8184,5.3457,1.1987,6.641,18.3141,23.5943,14.8867,26.607,30.0935,19.5254,15.3626,1.8714,3.3517,5.9226,13.1937,18.0994,6.5155,9.1541,6.9307,0.8925,1.9944,6.9942,7.4239,7.1664,4.8568,0.7636,2.7796,1.6075,13.2957,2.567,12.3738,46.1292,43.0685,43.5119,27.3604,69.9637,64.4052,30.7509,14.4029,25.8753,41.5568,32.1481,21.4243,11.2143,1.1329,0.1144,0.0116,0.0012,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GZcrLnnCM7qtee2QxoMF9g,Zeptimus,774.4582402479739,1.2965,0.3634,2.3378,0.4017,1.6787,9.9698,9.763,6.2289,11.6187,21.2195,6.0761,4.5311,23.5324,6.0632,17.1327,1.9958,2.8252,3.2712,7.2674,3.8915,4.5425,5.9369,10.9804,3.7,14.322,11.6083,23.1692,25.4726,11.2162,10.0855,22.4655,2.4325,1.8593,6.8519,8.1668,4.9919,5.7221,4.5013,11.4371,2.8946,10.2501,11.5744,15.5134,6.5535,18.9565,3.5355,12.9683,6.1386,16.423,37.8115,9.19,3.3924,7.974,7.2763,1.1705,4.4289,22.6098,17.672,6.5067,5.6044,21.7097,4.3147,6.7636,6.5348,16.0211,8.0929,7.9052,4.4534,4.1615,7.7253,7.7226,5.9643,13.2067,17.0476,13.5542,9.8817,4.9309,6.0006,7.8439,19.1714,3.6009,3.4591,9.9015,1.9174,2.0568,0.2078,0.0218,0.0097,0.0757,0.7468,0.0754,0.0076,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rSpBhk4ACkT3jOMDdx4c7Q,pKrepe,687.2936781410274,0.0432,0.3884,0.0393,0.0044,0.0042,0.0381,0.3764,0.6946,2.7482,1.9142,4.5532,14.4417,13.2687,6.1794,0.6242,0.0631,0.0064,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0047,0.0464,0.4597,0.9676,9.2164,19.4155,14.6805,43.933,61.0956,50.8213,68.0482,71.5769,45.6442,42.6237,36.6372,27.3755,25.7159,13.9989,17.6959,30.2905,28.1046,30.1632,3.0471,0.3078,0.0311,0.0031,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
