name,totalCred,github,discourse,address,discord,discordId,id
kristofer,2577.6136863499737,,,,,,['SKwe7tLJqd1Q5idLJackbQ']
griff,1575.1973111376087,,,,,,['ET0yY6EZd8gYCWBNobntGw']
mattyg,1525.7315344313497,mattyg,mattyjee,0x182312C44a219fD492F3aE177D11120a3CcD2EF3,mattyjee#8621,8.84439603401089e+17,['RprQksdQTwJi71xNWAt2Wg']
tamara,1496.975096382827,tamarandom,tamara,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,tam2140#9361,7.514178748866888e+17,['BOpBtopaQXL8lQeTmted3A']
sourcecred,949.7619997348876,,,,,,['1ESoqJnD8rY0dKKnQ8frtw']
liviade,850.9834423139116,liviade1,liviade,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,liviade#1387,4.800233220804444e+17,['XCvAJKrkF9714dUKaUZExg']
divine-comedian,806.7826021101713,divine-comedian,divine_comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,divine_comedian#5493,2.8801950013207347e+17,['Hakw7z8Zrf2vnbpz1FPfrg']
marthendalnunes,787.1880366458104,,,,,,['sajBddm8qlGdY7Qt8GQmbQ']
zeptimus,774.4582402479739,zeptimus,zeptimusq,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,zeptimus#3359,1.838795483942748e+17,['GZcrLnnCM7qtee2QxoMF9g']
pkrepe,687.2936781410274,,,,,,['rSpBhk4ACkT3jOMDdx4c7Q']
sem,654.9537010834326,,,,,,['OYPr6j4d4IlPBlfwmnmWNg']
vyvy-vi,598.3370392495632,,,,,,"['7iQuAWGd9k837zm3NTRavg', 'WWoIxvpkUqI5NWoG6DEXiw']"
nuggan,585.0382562561705,,,,,,['r0vZG1IXLmoVZ49GgHKJ8Q']
tecparamsbot,574.8755239728802,,,,,,['gYky0agLwAEE8pcgF62Vfg']
jessicazartler,549.2665971285422,,,,,,['4ap2sqiWg4qMj36zgeANKg']
juankbell,461.1260682370775,juankbell,juankbell,0x7d547666209755FB833f9B37EebEa38eBF513Abb,juankbell#7458,7.49990807238607e+17,['duekPnf8mUPCXp5ygxFEzg']
markop,460.7093374877184,,,,,,['sGrwHA6gJEhDAErTGMcq0w']
nebs-dev,383.5510496006241,nebs-dev,nebs,0x16E26789b4052815d450043A637b368bfB3ea63A,nebs#2035,9.101811898962413e+17,['hyLKveQvjLYbr3PZJgDsng']
eduardovegap,382.1080958974554,eduardovegap,vegayp,0x1d921dff757610FbDB0073479e12c0a07d382677,eduardovegap#0422,5.7364800738453094e+17,['NxVE6uDlQPByNRx1B0CyGA']
iviangita,348.35764464444355,,,,,,['7TOOsLar5Jnk7IAu0EIqiw']
mendesfabio,346.8982627128047,,,,,,['G9OdZJeyTg2EFxDFPDjtLQ']
chuygarcia92,324.9870778520811,chuygarcia92,chuygarcia92,0xB22981bA3FE1De2325935c91a3B717168fB86714,chuygarcia.eth#6692,7.279342963876169e+17,['ZWNbgl1noFkSqr37CyhGow']
kevinknielsen,293.9205638487406,,,,,,['0D5wUqAy7Z0kwDXVki5rTw']
ygg-anderson,277.61952512519946,,,,,,['ip2eEaDGiz7ydHaUOAJetA']
mount-manu,257.0631020079054,,,,,,['c6OUrobvVXjorSmWOC0kCA']
natesuits,250.6351116332345,,,,,,"['iWqqv2iETnRkT97bJGtmhg', 'NejxDy8PXdAa9uRrRvrdSw']"
freedumbs00,226.4594862878688,,,,,,['YZFeL0BE1YdlCdiZULyZcQ']
gideonro,218.2631972602492,,gideonro,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,gideonro#3175,3.43470788491477e+17,['464rDE6RHDwC8DNYqcnkUA']
santigs,216.7567469394822,santigs,santigs,0x9194b1713A8E07Bc47B90Fb7937E28e09b6cd100,santigs#9769,4.346322182463816e+17,['VSm6fQE2OqXQEp6e52kAbg']
natenatesoo,181.4705979143472,,,,,,['kRYFk7ZHQarYRekF4YUDDw']
pmespresso,161.41583938548524,,,,,,['rX3hvE2NFLHy7g6Ry3P0SA']
suga,156.99003140271705,danelsuga,suga,0x2fEe53687906bA239602eD42CCEee2aC8A4ADa36,suga#8514,7.865749259510088e+17,"['ReYHrv8KxmqyJmOF038YOw', 'QRhOc6NFX7F2HNXbZf0ZzQ']"
fabriziovigevani,139.01601859555996,,,,,,['ZQUaMankgsN2Uq2nDhx2mg']
hernandoagf,137.76807350729203,,,,,,['Fxfmps6Ei9xbZFJ3lrQMkA']
rperez89,133.09643936961973,,,,,,['bjnndH4HokQLURvU2ZBnGA']
jeffemmett,125.0163978024932,,,,,,['zpOhAq0V2ekJ8JTz7vZ7OQ']
laurenluz,121.75208960104312,laurenluz,laurenluz,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,karmaticacid#1218,4.923943395328e+17,['FE8bRvmLfmv6zKfrVDe8Kw']
ddan,116.07871865038916,,,,,,['uLxpHZxGaW9BGmSdWYgRaA']
pjcolombo,113.86820311698996,,,,,,['qg032DF3AY9rtOCPMxxPzw']
mateo-daza,112.23739874658696,,,,,,['SW3QLzfLRvQkXcmy4MxMNg']
angeldebenji,112.18487226846212,,,,,,['1A8G9FAAkjbVVqa2s3kuKw']
tylerboardroom,109.81869213384216,,,,,,['xhOcQzwGWNJRrarQuPLglQ']
tonga,108.4295668028864,,,,,,['TzIeoV93DiaIbB0N96YseQ']
solsista,102.82510693800468,,,,,,['qHmKcWP1VSZwp7pEXtatJA']
zxqx,98.85627909417988,,,,,,['52RNq9lhLGMtrZpNRldJsQ']
crisog,94.42847702085606,,,,,,['6vWueYzqtrbQnDrYqxJy7Q']
akrtws,89.28179996501501,,,,,,"['59i8fD5Sk3nFVVtJhRyUQg', 'KXZYLtObtXWVwGh2hqSdDQ']"
sudheerdev,88.60265219446002,,,,,,['cqQecgI9lvbS9DAQvVwuNg']
cranders1,73.70927646425318,cranders1,cranders1,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,amwfund#0979,6.551446294816358e+17,['2xX69XcgLBvkq5ZwV2y7rw']
hurek,72.07181489837535,,,,,,['DUosng8s9oJ7T9nlsOjbvg']
blazingthirdeye,74.2572594812704,,,,,,"['HLXHQgFzO8IEKx8D4z2gNA', 'X6EJkYl3phqfJ4Jw563Fqg']"
jds3d,67.93954562550509,,,,,,['pg4JNwNv9881Vl9BsRsvnQ']
linuxiscool,67.85449688583694,linuxiscool,ygg_anderson,0x763d7D362B59aeA3858a92a302e18cd41b1252d4,ygg_anderson#4998,6.598285149246587e+17,['elMNuPEwhDJbWWcKEbOJ1Q']
willjgriff,66.87547195849943,,,,,,['LEw4ujPRRRn6HZabOodtJw']
graial,66.38116405047077,,,,,,"['Ge8I1Vymxltyeb517Hdq6A', '1qwsNNyymsRRm5H5HYj1pQ']"
