name,discord_username,github_id,discourse_id,sourcecred_id,address,discord_id,totalGrainPaid,totalCred
0xGabi,,,,IeafXYmQF8AnzJdByLcLKw,,,,20.205440059097803
0xModene,,,,75T0tyXzE4sxp0b9HYExHQ,,,,1.1525861667847852
0xNuggan,Nuggan#5183,0xNuggan,0xNuggan,dLhPd4wwvLqINWBGjKURvw,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,714915268329078894,0.0,0.01
0xdddE,,,,v31i2ewwYm8yjTx9soPvXA,,,,1.6575471398640214
AL0YSI0US,,,,2IvGvXRbmQH2X6IM8sRyFQ,,,,44.755434991452766
AL0YSI0US-github,,,,kasDSxZf75ZmolF34Jy7KA,,,,15.224958102107347
AnaTech-discourse,,,,QVSd6JQ1rNdT6E3HmROFQg,,,,0.6270238820516193
AngelDeBenji,,,,1A8G9FAAkjbVVqa2s3kuKw,,,,112.30952927168518
AngelaKTE,,,,Ue2RGPpS31igG824JJD38A,,,,2.391276933176987
AshleyMaas,,,,yHa0r3NC4fy7RmcwQOUNzA,,,,2.782499872567063
BiancaGadelha,,,,J9yMAWUB0As4UkqYpA1qIw,,,,1.0430518864840497
Big-Gray-Al,,,,geAOXOaaaNuJ9kYPIxL9oQ,,,,35.87638524071987
Blazingthirdeye-github,,,,X6EJkYl3phqfJ4Jw563Fqg,,,,2.466007603643761
Block007,,Block007,,v5SrNx0qV4BLsJFyPWkCbA,,,0.0,2.211289648782548
Boonjue,,,,514vW4Qqt2oY4rKkjw5tzg,,,,3.0104261092562488
BradleyC,,BradleyC,,6NlouXeVAbtjH5zvPxNBOQ,,,0.0,20.000109950456764
CFWHISPERER,,,,2L8lbyJPuEL0UVj3T5Bi7A,,,,32.68793386560254
CarlGocht,,,,Rk78WJD7vyLvr4O6wZnnsQ,,,,16.781056347956852
CharlieX,,,CharlieX,wA6D2Cvr4YsBnON1PDUw0g,,,0.0,11.534430996925437
Costa-discourse,,,,UreDAOIq3VmpyZWLNS2aYA,,,,29.418609870849547
Costa91,,,,qc8dQFBpgRxc8gWdGZYJZQ,,,,9.617945691060749
CrazyKay,,,CrazyKay,Jz0tLKLpIArgDAdrzqvMoQ,,,0.0,2.8848806191630505
Cryptographr,,,,6MnIwqPZZe9zL3rmI6y2uA,,,,3.471233732885916
CurlyBracketEffect,,,CurlyBracketEffect,63jahrm9VN7txY0NWIYBig,,,0.0,2.08930665812403
Danibelle-github,,,,KJy5OKfq2X9RH2VreGAgog,,,,1.2406103593888544
DecentralizeSDGs-discourse,,,,NOazaKnJSVxWnoNJA5xoYQ,,,,5.765937471034845
Domik20,,,,Pc3LuW4soKp93qSBzsaNSg,,,,1.716865557349902
Efra-discourse,,,,9nHmRyBMZrU1ReAIjHkc7w,,,,2.425706368774624
Ekeneodigwe,,,,7Xe1I1NjtvIgd8rUE7JVDw,,,,1.3045257833667463
ErichDylus,,,,1JOTMsguKbSqSrsQikaa9A,,,,1.1525861667847852
Evalir,,Evalir,,3lsGvixr3nj1MBlV7ZuwrQ,,,0.0,31.75813970727297
Evo,,,Evo,Tww4DUOq2MTyCJKdD3LFbA,,,40.63895977944694,10.88741279285995
Fobey123,,,,W4OwRHMGwk9TjFG4X1eKtg,,,,0.6898061868917689
GCF,,,GCF,1SmcORjr7AjXd3E7DGvz8Q,,,0.0,2.478497884204056
GetVested,,,GetVested,c86rw0hweJduxgXjwydR0w,,,0.0,6.56123976482735
Gijsio,,,Gijsio,iqKXh2xBUyIgdAQ4lTGN2A,,,0.0,4.285667353967469
GreenHornet-discourse,,,,DdZXMB0Wjt5QUzaf8xjNsw,,,,4.039023970650309
Griff,griff#3281,GriffGreen,Griff,ET0yY6EZd8gYCWBNobntGw,,395673197615513600,2442.177877119206,1574.4613843268978
GuccuKudo,,,,ZRiN0NZ7h4uz49SOdCBuBQ,,,,0.6528264210776255
HBesso31,HBesso31#4560,,HBesso31,wVi1JPO2XMXMFJPIMDy4iA,,492783003676835842,35.50405842132431,22.53899030105496
Harthor,,Harthor,,BH2wr1YLBGRCmVtMFW8Xcw,,,0.0,1.5220745872598922
Heater-discourse,heater#9765,,Heater,w7FJSpfMI7GsvkhgENYKuA,0x57F540a736a647EF2d2Ef9Cd823C4a4e655858a4,765317807952494634,0.0,39.68689092084293
Ionneto,,,,u4omPRenm84MmwsAcGcPuA,,,,3.545895491664285
JME-discourse,,,,EwuMPPGtaiVapDU2bdtxWg,,,,6.235731352592421
JeffEmmett,JeffEmmett#7202,Jeff-Emmett,JeffEmmett,zpOhAq0V2ekJ8JTz7vZ7OQ,,379773201405706260,269.43825457417705,124.612978426134
JessicaZartler,JessicaZartler#2263,jessicazartler,JessicaZartler,4ap2sqiWg4qMj36zgeANKg,,734527275630067746,1808.9595809692307,548.6835066586418
JohannSuarez,,,,ydVfgbU7WsPeanO3c0J76Q,,,,1.8409612001670788
JuankBell,Juankbell#7458,JuankBell,Juankbell,duekPnf8mUPCXp5ygxFEzg,,749990807238607020,708.0183953093584,460.5264130452962
KZFlyer,KZ Flyer#0926,KZFlyer,KZFlyer,0dIAoa7J10u5AkMLAZpsxw,0x343EF442adD9bd565D51b606f444F9221AD0Aeb6,433877864849473557,31.78820868629256,16.994356176689955
KZFlyer-github,,,,0Cz18hYNrgJFr7G9tyviKg,,,,4.792204368781625
Kisgus,,Kisgus,,7gaYZaa6VrmmwmgxyEoneA,,,0.0,3.457758500255089
Kojak,,,,cvVub3CxNehm20E3F11bIg,,,,28.364133041856167
LBS-discourse,,,,aTEQkkaJko19BdPRJwydLg,,,,3.489074436006152
Letty,,,Letty,lA284bvU4x5gSQsXS97TJA,,,0.0,29.565748422242585
LexBirdie,,,,xnnAuV5sB4tnnO4eH3ymsg,,,,3.092959099057768
LinuxIsCool,ygg_anderson#4998,LinuxIsCool,ygg_anderson,elMNuPEwhDJbWWcKEbOJ1Q,0x763d7D362B59aeA3858a92a302e18cd41b1252d4,659828514924658688,0.0,67.80978054143254
Maindefi,,,,SY9gkwoSxxd7d4j589d17g,,,,0.6499763742856028
ManuAlzuru,ManuAlzuru | &#x1F951;#5047,,ManuAlzuru,U5vAoK89AGEflFWXB1oQpw,,399892650666229770,5.486971443814015,1.1282105267510265
ManuelMaccou,,,,N2BJeJ64sWr1bzrvxIM9Cw,,,,6.802300869775064
Marc-discourse,,,Marc,ixR4pc1Q4TZrZRVOAfR2Dw,,,0.0,0.6656639864967492
