,id,name,totalGrainPaid,totalCred
671,SKwe7tLJqd1Q5idLJackbQ,kristofer,,2515.7983406670123
1,ET0yY6EZd8gYCWBNobntGw,Griff,2442.177877119206,1574.4613843268978
672,SmfwBAMJYZ2V0l7EAI1gQg,mattyg-github,,1526.9255920548003
0,BOpBtopaQXL8lQeTmted3A,Tamara,2763.0759571585672,1495.4504252652046
63,1ESoqJnD8rY0dKKnQ8frtw,SourceCred,0.0,944.2210765039114
3,XCvAJKrkF9714dUKaUZExg,liviade,1291.3074239406053,850.1357752300459
13,Hakw7z8Zrf2vnbpz1FPfrg,divine-comedian,446.0509051924591,802.9571814019862
33,sajBddm8qlGdY7Qt8GQmbQ,marthendalnunes,64.88827969792398,787.7885195606791
6,GZcrLnnCM7qtee2QxoMF9g,Zeptimus,869.9580598310606,769.2286165807055
673,G9DoSXONnl6tL2GB5nC9gw,pkretzschmar,,687.7031520018338
5,OYPr6j4d4IlPBlfwmnmWNg,sem,1017.194946300014,654.8334242412558
14,7iQuAWGd9k837zm3NTRavg,Vyvy-vi,386.7632069895543,595.0939278791412
674,gYky0agLwAEE8pcgF62Vfg,tecparamsbot,,575.5389524310382
675,r0vZG1IXLmoVZ49GgHKJ8Q,Nuggan,,559.3248086557637
2,4ap2sqiWg4qMj36zgeANKg,JessicaZartler,1808.9595809692307,548.6835066586418
9,duekPnf8mUPCXp5ygxFEzg,JuankBell,708.0183953093584,460.5264130452962
4,sGrwHA6gJEhDAErTGMcq0w,markop,1252.307877002183,460.2117408112596
676,hyLKveQvjLYbr3PZJgDsng,nebs-dev,,368.42965187273904
645,G9OdZJeyTg2EFxDFPDjtLQ,mendesfabio,0.0,347.3696124344309
11,7TOOsLar5Jnk7IAu0EIqiw,iviangita,548.9055680022292,346.4944800653809
19,ZWNbgl1noFkSqr37CyhGow,chuygarcia92,220.2397680755041,323.192869522649
677,0D5wUqAy7Z0kwDXVki5rTw,kevinknielsen,,294.24716119504296
12,NxVE6uDlQPByNRx1B0CyGA,eduardovegap,479.9444198730656,281.7544891419322
8,ip2eEaDGiz7ydHaUOAJetA,ygg-anderson,743.496438353387,277.8377145984638
16,iWqqv2iETnRkT97bJGtmhg,natesuits,324.37444760424216,240.39713963667592
7,YZFeL0BE1YdlCdiZULyZcQ,freedumbs00,754.1545386885772,226.470788968264
10,VSm6fQE2OqXQEp6e52kAbg,santigs,608.0507704030545,216.6591110754664
20,kRYFk7ZHQarYRekF4YUDDw,natenatesoo,194.7482775010877,181.0613213952066
663,464rDE6RHDwC8DNYqcnkUA,gideonro,0.0,165.1828096599637
678,rX3hvE2NFLHy7g6Ry3P0SA,pmespresso,,161.59520059294258
661,54pPzfgbn7NVRx9sET7wlw,Mount-Manu-discourse,0.0,140.9678469809761
64,ZQUaMankgsN2Uq2nDhx2mg,fabriziovigevani,0.0,139.1704895325634
679,d5LhkRRSDTdrmwO9MKx6Gw,hernandoagf-github,,137.92115779290253
