name,totalCred,Sat Jul 16 2022,Sat Jul 09 2022,Sat Jul 02 2022,Sat Jun 25 2022,Sat Jun 18 2022,Sat Jun 11 2022,Sat Jun 04 2022,Sat May 28 2022,Sat May 21 2022,Sat May 14 2022,Sat May 07 2022,Sat Apr 30 2022,Sat Apr 23 2022,Sat Apr 16 2022,Sat Apr 09 2022,Sat Apr 02 2022,Sat Mar 26 2022,Sat Mar 19 2022,Sat Mar 12 2022,Sat Mar 05 2022,Sat Feb 26 2022,Sat Feb 19 2022,Sat Feb 12 2022,Sat Feb 05 2022,Sat Jan 29 2022,Sat Jan 22 2022,Sat Jan 15 2022,Sat Jan 08 2022,Sat Jan 01 2022,Sat Dec 25 2021,Sat Dec 18 2021,Sat Dec 11 2021,Sat Dec 04 2021,Sat Nov 27 2021,Sat Nov 20 2021,Sat Nov 13 2021,Sat Nov 06 2021,Sat Oct 30 2021,Sat Oct 23 2021,Sat Oct 16 2021,Sat Oct 09 2021,Sat Oct 02 2021,Sat Sep 25 2021,Sat Sep 18 2021,Sat Sep 11 2021,Sat Sep 04 2021,Sat Aug 28 2021,Sat Aug 21 2021,Sat Aug 14 2021,Sat Aug 07 2021,Sat Jul 31 2021,Sat Jul 24 2021,Sat Jul 17 2021,Sat Jul 10 2021,Sat Jul 03 2021,Sat Jun 26 2021,Sat Jun 19 2021,Sat Jun 12 2021,Sat Jun 05 2021,Sat May 29 2021,Sat May 22 2021,Sat May 15 2021,Sat May 08 2021,Sat May 01 2021,Sat Apr 24 2021,Sat Apr 17 2021,Sat Apr 10 2021,Sat Apr 03 2021,Sat Mar 27 2021,Sat Mar 20 2021,Sat Mar 13 2021,Sat Mar 06 2021,Sat Feb 27 2021,Sat Feb 20 2021,Sat Feb 13 2021,Sat Feb 06 2021,Sat Jan 30 2021,Sat Jan 23 2021,Sat Jan 16 2021,Sat Jan 09 2021,Sat Jan 02 2021,Sat Dec 26 2020,Sat Dec 19 2020,Sat Dec 12 2020,Sat Dec 05 2020,Sat Nov 28 2020,Sat Nov 21 2020,Sat Nov 14 2020,Sat Nov 07 2020,Sat Oct 31 2020,Sat Oct 24 2020,Sat Oct 17 2020,Sat Oct 10 2020,Sat Oct 03 2020,Sat Sep 26 2020,Sat Sep 19 2020,Sat Sep 12 2020,Sat Sep 05 2020,Sat Aug 29 2020,Sat Aug 22 2020,Sat Aug 15 2020,Sat Aug 08 2020,Sat Aug 01 2020,Sat Jul 25 2020,Sat Jul 18 2020,Sat Jul 11 2020,Sat Jul 04 2020,Sat Jun 27 2020,Sat Jun 20 2020,Sat Jun 13 2020,Sat Jun 06 2020,Sat May 30 2020,Sat May 23 2020,Sat May 16 2020,Sat May 09 2020,Sat May 02 2020,Sat Apr 25 2020,Sat Apr 18 2020,Sat Apr 11 2020,Sat Apr 04 2020,Sat Mar 28 2020,Sat Mar 21 2020,share,tec,10% vested per round
kristofer,2577.613686,2.7436,0.7575,4.8314,47.5567,85.9602,59.2152,60.0716,49.4387,36.745,48.1938,63.4353,64.1939,101.044,33.5278,93.785,93.5918,48.0358,81.2088,73.9076,49.6712,81.8421,76.3842,36.949,50.2529,48.7733,51.7185,106.9409,120.9962,115.2389,70.809,52.3815,24.7036,35.1201,30.3996,40.9207,23.3609,7.3177,17.6212,63.6585,32.7586,25.8653,49.6578,23.7445,14.9561,3.4245,5.0351,2.9465,1.4458,0.3822,2.3758,0.6029,0.078,0.1775,1.6967,16.7896,2.565,0.7188,1.983,3.4845,0.4165,0.6805,0.6423,5.7425,1.321,7.4674,10.5507,8.3464,17.2289,16.2689,68.9501,10.6903,1.0799,0.1091,0.011,0.0011,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1037155002,1327.247256,132.7247256
griff,1575.197311,0.6039,0.0626,0.0223,0.1604,1.582,0.9303,0.4425,3.4944,0.746,1.1167,0.3003,1.8864,0.5975,4.0883,1.0231,6.1426,7.5498,3.5149,5.8337,4.8354,7.1387,0.8768,1.6296,8.5868,39.71,10.637,6.5139,5.3999,4.9522,1.7468,0.6619,4.8719,16.2491,18.0289,18.5921,20.0598,36.1018,32.7775,36.6852,27.6805,25.5338,36.3492,13.3857,7.3972,17.4537,20.9152,21.4192,15.6397,9.5587,4.6536,10.7742,14.94,3.8297,6.9651,18.8628,10.4171,10.2041,12.1598,14.8537,7.421,14.3705,18.8229,62.8074,66.9156,48.3051,40.4052,32.0533,36.3112,57.5583,14.9544,12.4432,13.2665,29.279,21.6443,45.8119,17.4753,12.7655,7.7436,22.3375,10.1389,38.925,14.4655,22.8827,23.4443,37.26,43.5846,12.0588,40.9658,36.2366,65.9752,16.4597,6.3925,0.6458,0.0652,0.0066,0.0007,0.0001,0,0,0,0,0,0,0,0.0001,0.001,0.0096,0.0951,0.9409,0.0951,0.0096,0.001,0.0001,0,0,0,0,0,0,0,0,0,0.06338124983,811.089854,81.1089854
mattyg,1525.731534,0.1017,0.9152,9.0505,89.5901,93.7399,76.1372,60.74,27.8812,106.3096,81.6118,106.7651,118.1781,129.5838,79.1615,69.5051,82.8599,97.45,61.6731,60.345,63.1967,71.4794,32.3076,6.7523,0.6821,0.0689,0.007,0.0007,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06139089425,785.6192737,78.56192737
tamara,1496.975096,0.0052,0.0472,0.4664,4.6164,11.2185,1.5494,4.2753,4.5401,9.6008,6.7721,17.5112,5.9479,9.8796,4.2237,12.5386,3.8628,13.9599,5.2046,17.1102,11.3924,15.3382,1.8069,2.7305,11.1762,45.0042,12.872,15.1989,14.2154,7.1299,3.2565,6.2152,15.5853,20.3085,8.9232,29.8829,26.7455,21.6927,12.836,25.8558,13.707,38.4185,18.4707,28.0122,13.9504,31.2561,14.2735,21.5486,6.9368,18.4742,3.2158,0.501,1.7938,1.1609,9.8149,27.3657,26.7096,26.0473,10.2799,30.3163,9.8891,19.9106,19.8564,39.6353,21.2065,24.056,28.8653,43.9287,12.3823,41.4496,16.5641,31.7428,15.1425,38.8976,21.4167,26.8877,11.0388,28.489,24.1909,15.8058,23.8486,69.3171,14.3828,10.088,25.7477,27.1985,4.9494,10.8745,23.7909,3.8857,0.3925,0.0397,0.004,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602338208,770.8122048,77.08122048
sourcecred,949.7619997,0.1479,1.3311,3.4788,4.1797,10.7526,14.5964,10.8405,12.4802,9.4261,11.5813,10.2574,14.0143,12.9358,15.6336,9.8124,13.4096,13.328,12.2621,10.7678,12.9528,9.1736,12.1986,8.8689,7.5514,7.8241,10.1073,8.6738,10.7467,10.6035,10.0953,6.0327,7.5805,12.7625,13.0379,9.6662,9.9599,9.1061,14.0066,14.8039,18.6021,17.4437,20.6026,18.9307,14.9977,8.9705,12.1048,12.0663,11.2351,12.2946,7.1754,6.9576,7.7697,4.9894,2.9218,10.0195,12.6732,10.6404,12.4867,9.6995,9.0656,5.2553,9.1929,8.9522,15.2464,16.5781,15.2695,15.6532,12.876,14.9905,18.2516,11.9906,9.891,10.7925,16.0969,11.8972,11.0116,7.0398,9.9072,6.9892,6.9659,7.6391,10.178,4.9661,6.2407,9.3559,9.0539,7.3852,4.3912,6.6573,0.6725,0.0679,0.0069,0.0007,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03821559506,489.04497,48.904497
liviade,850.9834423,0.2091,1.8821,0.8333,2.6027,7.3747,0.7996,0.6214,5.4146,3.5928,0.4507,0.9139,5.1574,11.9974,12.998,4.669,4.291,21.0505,6.064,17.7486,3.0752,7.4859,0.8127,0.6408,5.5949,5.4546,4.5677,5.266,2.8981,14.159,2.8906,14.7466,7.8601,11.8282,18.5593,8.0193,7.3326,9.3637,9.14,20.771,13.5818,17.7754,7.8635,6.2693,5.623,9.249,15.8024,9.1635,16.4866,13.9727,2.3076,9.103,1.0054,0.9505,8.4997,7.8098,15.1342,24.9342,11.2269,18.2102,2.7911,3.9034,3.47,4.6039,15.3728,12.6422,16.3348,14.0436,4.5287,17.6836,20.2808,9.3871,6.6656,20.9603,4.9645,10.5255,4.4508,14.7574,4.6555,4.7576,5.864,9.4649,3.4767,18.1641,25.1852,11.7839,9.8973,5.2111,19.502,31.5153,14.2072,3.1741,8.2129,0.8297,0.0838,0.0085,0.0009,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03424104001,438.182589,43.8182589
divine-comedian,806.7826021,0.9899,3.8524,1.0905,7.0528,25.3589,7.5178,5.4647,11.6018,22.9495,10.3933,19.8115,5.311,4.4791,3.2117,5.3318,5.453,6.3428,6.3914,17.0193,8.0474,6.9074,19.1497,15.6071,5.0186,5.7182,3.8033,3.3867,5.6046,1.2878,1.5438,2.749,8.1456,5.4502,7.9426,8.6707,3.8416,7.6184,8.379,17.294,32.8418,21.9676,22.5134,23.5145,8.6112,7.2475,25.7338,4.9526,12.0817,2.1033,8.9516,2.5444,0.5622,3.0778,30.216,15.4115,2.4085,3.2684,1.6735,3.4566,1.6723,5.8903,11.6125,8.7676,8.2483,18.7477,18.5709,10.4593,18.1051,55.7684,9.4311,10.4548,29.9279,34.5494,3.8105,0.3849,0.0389,0.0039,0.0004,0,0,0.0001,0.0011,0.0112,0.1106,1.095,0.1106,0.0112,0.0011,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324625298,415.4229939,41.54229939
marthendalnunes,787.1880366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0014,0.0135,0.1339,1.3253,0.1425,0.0994,0.8514,8.4148,13.8267,5.3497,1.1994,6.6448,18.3262,23.6116,14.8962,26.6193,30.089,19.4364,15.3589,1.8713,3.3545,5.9275,13.2018,18.1114,6.5194,9.1623,6.9371,0.8933,1.9962,7.0006,7.4308,7.1729,4.8604,0.7641,2.7811,1.6087,13.3064,2.5687,12.3809,46.1649,43.1064,43.549,27.3809,70.008,64.4574,30.7759,14.4157,25.8985,41.5916,32.1756,21.4421,11.2241,1.1339,0.1145,0.0116,0.0012,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03167410283,405.3334939,40.53334939
zeptimus,774.4582402,0.017,0.1527,1.5099,8.6924,9.3229,6.1448,11.3456,19.3612,5.855,4.4503,23.0008,6.012,17.1421,1.9964,2.822,3.2554,7.2426,3.8879,4.5427,5.9397,10.9812,3.7049,14.3536,11.7211,23.0212,25.3251,11.1859,10.0615,22.4596,2.432,1.8604,6.8556,8.1683,4.9444,5.7137,4.4971,11.434,2.8935,10.2457,11.5672,15.5185,6.5607,19.0047,3.5406,12.9663,6.14,16.4347,37.7029,9.1773,3.3913,7.9719,7.2813,1.1704,4.4229,22.5359,17.6679,6.4919,5.6183,21.8547,4.3312,6.7738,6.5283,15.9714,8.0923,7.9052,4.4571,4.1615,7.7187,7.725,5.9657,13.2024,17.0471,13.5559,9.885,4.9329,6.0031,7.8465,19.1796,3.6025,3.4594,9.9016,1.9089,2.0502,0.2072,0.0217,0.0097,0.0756,0.7466,0.0754,0.0076,0.0008,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03116189372,398.778754,39.8778754
pkrepe,687.2936781,0,0.0004,0.0038,0.0379,0.3756,0.694,2.7473,1.9155,4.5575,14.4557,13.2814,6.1846,0.6248,0.0631,0.0064,0.0006,0.0001,0,0,0,0,0,0,0,0,0,0,0.0005,0.0046,0.0453,0.4489,0.9675,9.2256,19.4324,14.6938,43.9792,61.179,50.8733,68.1143,71.6427,45.6892,42.7401,36.6827,27.403,25.7408,14.0125,17.7132,30.3196,28.1318,30.1917,3.05,0.3081,0.0311,0.0031,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02765465127,353.8965723,35.38965723
